"","month_year","year","month","season","position","Probability_Threshold","n_days"
"237",2015-10-01,2015,10,"non_critical","MC","High",0
"238",2016-10-01,2016,10,"non_critical","MC","High",0
"239",2010-11-01,2010,11,"non_critical","MC","High",0
"240",2011-11-01,2011,11,"non_critical","MC","High",0
"241",2012-11-01,2012,11,"non_critical","MC","High",0
"242",2013-11-01,2013,11,"non_critical","MC","High",0
"243",2014-11-01,2014,11,"non_critical","MC","High",0
"244",2015-11-01,2015,11,"non_critical","MC","High",0
"245",2016-11-01,2016,11,"non_critical","MC","High",0
"246",2010-12-01,2010,12,"non_critical","MC","High",0
"247",2011-12-01,2011,12,"non_critical","MC","High",0
"248",2012-12-01,2012,12,"non_critical","MC","High",0
"249",2013-12-01,2013,12,"non_critical","MC","High",0
"250",2014-12-01,2014,12,"non_critical","MC","High",0
"251",2015-12-01,2015,12,"non_critical","MC","High",0
"252",2016-12-01,2016,12,"non_critical","MC","High",0
